snomedConcept,snomedIdentifier,conditionName,predictedTag,confidence,sentence,source,support CNL1L2L3,support L1L2L3,L1,L2,L3
Thrombophlebitis (disorder),64156001,Thrombophlebitis,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.0082644628099173,"After the first treatment, you'll likely be told to take warfarin (Coumadin, Jantoven) or rivaroxaban (Xarelto) for several months to keep preventing clot growth.",MAYO,0.0001932740626207,0.0233861615771163,IMPROVE,SLOWLY,FROM 2 MONTH TO 6 MONTH
Fetal alcohol syndrome (disorder),205788004,Fetal alcohol syndrome,DECLINE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0666666666666666,"Watches for signs and symptoms of fetal alcohol syndrome in your child's initial weeks, months and years of life.",MAYO,0.0001932740626207,0.0028991109393119,DECLINE,MODERATELY,FROM 2 MONTH TO 6 MONTH
Partial anomalous pulmonary venous connection (disorder),68237008,Partial anomalous pulmonary venous return,PERMANENT,0.0011520737327188,Congenital heart disease can often be treated successfully in childhood.,MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,
Adhesive capsulitis of shoulder (disorder),399114005,Frozen shoulder,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.007380073800738,"Signs and symptoms typically begin gradually, worsen over time and then resolve, usually within one to three years.",MAYO,0.0003865481252415,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Thrombophilia (disorder),234467004,Thrombophilia,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971,It takes a few days to work properly,NHS,0.0001932740626207,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK
Disease caused by West Nile virus (disorder),417093003,West Nile virus,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0020725388601036,There are usually no symptoms and it gets better without treatment,NHS,0.0003865481252415,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Neuroendocrine tumor (morphologic abnormality),55937004,Neuroendocrine tumours,PERMANENT,0.0011520737327188,"If surgery can't completely cure your condition, it may be used to help reduce and manage any symptoms",NHS,0.0001932740626207,0.1677618863548511,PERMANENT,,
Hereditary motor and sensory neuropathy (disorder),398100001,Charcot-Marie-Tooth disease,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.007380073800738,"But the disease generally progresses slowly, and it doesn't affect expected life span.",MAYO,0.0003865481252415,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Osteomalacia (disorder),4598005,Osteomalacia,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,"Fortunately, getting enough vitamin D through oral supplements for several weeks to months can cure osteomalacia.",MAYO,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH
Infection caused by larvae of Trichinella (disorder),709018004,Trichinosis,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,"However, fatigue, mild pain, weakness and diarrhea may linger for months or years.",MAYO,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Pins and needles (finding),62507009,Pins and needles,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,It lasts only a few minutes,NHS,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Hashimoto thyroiditis (disorder),21983002,Hashimoto's disease,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,"Hashimoto's disease typically progresses slowly over years and causes chronic thyroid damage, leading to a drop in thyroid hormone levels in your blood.",MAYO,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Orf virus disease (disorder),74050005,Orf,DECLINE FAST FROM 8 DAY TO 2 MONTH,1.0,"As the condition progresses over a 3- to 6-week period, a pustule or blister that weeps fluid will develop on top and eventually crust over.",NHS,0.0001932740626207,0.0001932740626207,DECLINE,FAST,FROM 8 DAY TO 2 MONTH
Shin splint (physical object),183202003,Shin splints,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462,Shin splints usually get better within a few weeks,NHS,0.0001932740626207,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH
Lesion of eyelid (finding),301913002,Eyelid problems,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462,a lump that goes away by itself after 3 or 4 weeks,NHS,0.0001932740626207,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH
Catarrh (morphologic abnormality),782515007,Catarrh,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,"It's often temporary, but some people experience it for months or years",NHS,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Cervical spondylosis (disorder),387800004,Cervical spondylosis,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462,"It usually takes a few weeks for treatment to work, although the pain and stiffness can come back.",NHS,0.0001932740626207,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH
Attention deficit hyperactivity disorder (disorder),406506008,Attention-deficithyperactivity disorder (ADHD) in children,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,"Although still unproved, it may be prudent for children to avoid excessive exposure to TV and video games in the first five years of life.",MAYO,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR
"Polyneuropathy, organomegaly, endocrinopathy, monoclonal gammopathy, and skin changes syndrome (disorder)",79268002,POEMS syndrome,PERMANENT,0.0011520737327188,Treatment for POEMS syndrome might improve your symptoms but doesn't cure the condition.,MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,
Full thickness burn (disorder),403192003,Third degree burn,IMPROVE MODERATELY FROM 1 DAY TO 1 WEEK,0.0434782608695652,"Minor burns affecting the outer layer of skin and some of the underlying layer of tissue (superficial dermal burns) normally heal in around 14 days, leaving minimal scarring.",NHS,0.0001932740626207,0.0044453034402783,IMPROVE,MODERATELY,FROM 1 DAY TO 1 WEEK
Glucosylceramide beta-glucosidase deficiency (disorder),190794006,Gaucher disease,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,One rare subtype of Gaucher disease begins in infancy and typically results in death by 2 years of age.,MAYO,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Infection of ear (disorder),129127001,Ear infections,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971,"Most ear infections clear up within 3 days, although sometimes symptoms can last up to a week.",NHS,0.0001932740626207,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK
Sick sinus syndrome (disorder),36083008,Sick sinus syndrome,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,You'll be able to resume normal or near-normal activities after you recover from pacemaker implantation surgery.,MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Arthritis of bilateral first carpometacarpal joints (disorder),1074781000119102,Thumb arthritis,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462,"After surgery, you can expect to wear a cast or splint over your thumb and wrist for up to six weeks.",MAYO,0.0001932740626207,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH
Pineoblastoma (disorder),767448007,Pineoblastoma,PERMANENT,0.0011520737327188,No alternative treatments have been proved to cure brain tumors.,MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,
Uterine leiomyoma (disorder),95315005,Fibroids,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.0082644628099173,irregular bleeding that may last for more than 6 months,NHS,0.0001932740626207,0.0233861615771163,IMPROVE,SLOWLY,FROM 2 MONTH TO 6 MONTH
Wilson's disease (disorder),88518009,Wilson's disease,PERMANENT,0.0011520737327188,"If you take medications for Wilson's disease, treatment is lifelong.",MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,
Sclerosing mesenteritis (disorder),1092381000119100,Sclerosing mesenteritis,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,But some people experience no signs and symptoms and may never need treatment.,MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Counseling (procedure),409063005,Counselling,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462,"You may be offered a single session of counselling, a short course of sessions over a few weeks or months, or a longer course that lasts for several months or years.",NHS,0.0001932740626207,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH
Gastritis (disorder),4556007,Gastritis,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,"But if not, it can last for years",NHS,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Compulsive hoarding (finding),247968005,Hoarding disorder,DECLINE SLOWLY FROM 6 MONTH TO 1 YEAR,0.0833333333333333,Problems with hoarding gradually develop over time and tend to be a private behavior.,MAYO,0.0001932740626207,0.0023192887514495,DECLINE,SLOWLY,FROM 6 MONTH TO 1 YEAR
Acute respiratory distress syndrome (disorder),67782005,ARDS,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,"Many people with ARDS recover most of their lung function within several months to two years, but others may have breathing problems for the rest of their lives.",MAYO,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Cough headache syndrome (finding),95658004,Cough headaches,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,Typically last a few seconds to a few minutes — some can last up to two hours,MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
"Hydatidiform mole, benign (disorder)",417044008,Molar pregnancy,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0077120822622107,He or she may recommend waiting for six months to one year before trying to become pregnant.,MAYO,0.0005798221878623,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH
Tularemia (disorder),19265001,Tularemia,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971,"Most people exposed to tularemia who become sick generally do so within three to five days, although it can take as long as 14 days.",MAYO,0.0001932740626207,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK
Common cold (disorder),82272006,Common cold,IMPROVE FAST FROM 8 DAY TO 2 MONTH,0.1,You should begin to feel better in about a week or 2,NHS,0.0003865481252415,0.0038654812524159,IMPROVE,FAST,FROM 8 DAY TO 2 MONTH
Essential thrombocythemia (disorder),109994006,Essential thrombocythemia,PERMANENT,0.0023041474654377,Essential thrombocythemia is a chronic disease with no cure.,MAYO,0.0003865481252415,0.1677618863548511,PERMANENT,,
Colostomy (procedure),398740003,Colostomy,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971,"After having a colostomy, you'll need to recover in hospital for a few days.",NHS,0.0001932740626207,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK
Breath holding with temper (finding),90091006,Breath-holding in babies and children,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0020725388601036,faint for 1 or 2 minutes,NHS,0.0003865481252415,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Synovial sarcoma (disorder),302851001,Synovial sarcoma,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,Synovial sarcoma generally grows slowly.,MAYO,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Polycystic ovary syndrome (disorder),237055002,Polycystic ovary syndrome,PERMANENT,0.0023041474654377,"Polycystic ovary syndrome (PCOS) cannot be cured, but the symptoms can be managed.",NHS,0.0003865481252415,0.1677618863548511,PERMANENT,,
Mittelschmerz (finding),43548008,Mittelschmerz,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0020725388601036,"Mittelschmerz pain usually lasts a few minutes to a few hours, but it may continue for as long as a day or two.",MAYO,0.0003865481252415,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Giardiasis (disorder),58265007,Giardiasis,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0072463768115942,"It usually goes away in about a week if it's treated, but can sometimes last much longer",NHS,0.0003865481252415,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK
Injury of cartilage (disorder),363182001,Cartilage damage,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0064724919093851,"Minor cartilage injuries may get better on their own within a few weeks, but more severe cartilage damage may eventually require surgery.",NHS,0.0007730962504831,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH
Convergence insufficiency (disorder),194131002,Convergence insufficiency,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.0082644628099173,Treatment for convergence insufficiency might take three months or longer.,MAYO,0.0001932740626207,0.0233861615771163,IMPROVE,SLOWLY,FROM 2 MONTH TO 6 MONTH
Infection caused by Corynebacterium diphtheriae (disorder),276197005,Diphtheria,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,"Any skin ulcers usually heal within 2 to 3 months, but may leave a scar",NHS,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH
Neurofibromatosis (morphologic abnormality),81669005,Neurofibromatosis,PERMANENT,0.0011520737327188,"Neurofibromatosis can't be cured, but treatments can help manage signs and symptoms.",MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,
Cyst of Bartholin's gland duct (disorder),57044006,Bartholin's cyst,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0048543689320388,"Epithelialisation usually takes around 4 weeks, although it can take longer",NHS,0.0005798221878623,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH
Epicondylitis (disorder),73583000,Tennis elbow,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.0131578947368421,"In some cases, tennis elbow can persist for more than a year",NHS,0.0003865481252415,0.029377657518361,IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR
Fracture of hand (disorder),20511007,Broken hand,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.0082644628099173,"Rehabilitation can help, but it can take several months or longer for complete healing.",MAYO,0.0001932740626207,0.0233861615771163,IMPROVE,SLOWLY,FROM 2 MONTH TO 6 MONTH
Wrinkled face (finding),248194004,Wrinkles,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR,0.0217391304347826,The effect typically lasts a few months.,MAYO,0.0001932740626207,0.0088906068805566,IMPROVE,MODERATELY,FROM 6 MONTH TO 1 YEAR
Glaucoma (disorder),23986001,Glaucoma,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.007380073800738,It tends to develop slowly over many years and affects the edges of your vision (peripheral vision) first.,NHS,0.0003865481252415,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Allergy to soy protein (finding),782594005,Soy allergy,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,Signs and symptoms of a food allergy usually develop within a few minutes to hours after eating a food containing the allergen.,MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Talipes equinovarus (disorder),397932003,Club foot,IMPROVE FAST FROM 8 DAY TO 2 MONTH,0.05,Treatment for club foot usually starts within a week or two of your baby being born.,NHS,0.0001932740626207,0.0038654812524159,IMPROVE,FAST,FROM 8 DAY TO 2 MONTH
Neonatal jaundice (disorder),387712008,Newborn jaundice,IMPROVE MODERATELY FROM 1 DAY TO 1 WEEK,0.0434782608695652,"Phototherapy will be stopped when the bilirubin level falls to a safe level, which usually takes a day or two.",NHS,0.0001932740626207,0.0044453034402783,IMPROVE,MODERATELY,FROM 1 DAY TO 1 WEEK
Allergy to egg protein (finding),213020009,Egg allergy,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,Egg allergy symptoms usually occur a few minutes to a few hours after eating eggs or foods containing eggs.,MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Patent ductus arteriosus (disorder),83330001,Patent ductus arteriosus (PDA),IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462,It usually takes a few weeks for a child to fully recover from heart surgery.,MAYO,0.0001932740626207,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH
Acute coccidioidomycosis (disorder),3071000119108,Valley fever,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,"It can take months to fully recover, and fatigue and joint aches can last even longer.",MAYO,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH
Neurofibromatosis type 1 (disorder),92824003,Neurofibromatosis type 1,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,"NF1 is a condition you're born with, although some symptoms develop gradually over many years",NHS,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Macular hole (disorder),232006002,Macular hole,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.006578947368421,"If you've had a hole for less than 6 months, there's about a 90% chance your operation will be successful – 9 in 10 operations will successfully close the hole.",NHS,0.0001932740626207,0.029377657518361,IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR
Pruritus ani (disorder),90446007,Itchy bottom,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,"If it lasts for longer, you might be able to get an idea of the cause from any other symptoms you have",NHS,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Bell's palsy (disorder),193093009,Bell's palsy,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.0131578947368421,Most people get better within 9 months,NHS,0.0003865481252415,0.029377657518361,IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR
Frontal lobe epilepsy (disorder),230394006,Frontal lobe seizures,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,Call 911 or call for emergency medical help if you see someone having a seizure that lasts longer than five minutes.,MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Tendinitis (disorder),34840004,Tendonitis,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0032362459546925,You can treat mild tendon injuries yourself and should feel better within 2 to 3 weeks,NHS,0.0003865481252415,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH
Alcohol abuse (disorder),15167005,Alcohol misuse,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR,0.0217391304347826,"If you're prescribed acamprosate, the course usually starts as soon as you begin withdrawal from alcohol and can last for up to 6 months.",NHS,0.0001932740626207,0.0088906068805566,IMPROVE,MODERATELY,FROM 6 MONTH TO 1 YEAR
Takayasu's disease (disorder),359789008,Takayasu's arteritis,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,It's possible for inflammation to damage arteries for years before you realize something is wrong.,MAYO,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Hypoparathyroidism (disorder),36976004,Hypoparathyroidism,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,"Depending on the cause of your hypoparathyroidism, you'll likely need to take supplements for life.",MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Blepharitis (disorder),41446000,Blepharitis,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,"Although a chalazion can be painful when developing, it can become a relatively painless swelling that feels like a small bead in your eyelid.",MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Dysenteric diarrhea (disorder),46799006,Dysentery,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971,"As dysentery usually gets better on its own after 3 to 7 days, treatment is not usually needed.",NHS,0.0001932740626207,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK
Appendicitis (disorder),74400008,Appendicitis,IMPROVE MODERATELY FROM 1 DAY TO 1 WEEK,0.0434782608695652,"With open or complicated surgery (for example, if you have peritonitis) it may take up to a week before you're well enough to go home.",NHS,0.0001932740626207,0.0044453034402783,IMPROVE,MODERATELY,FROM 1 DAY TO 1 WEEK
Genus Scleroderma (fungus) (organism),422801000,Scleroderma,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0112781954887218,may improve after a few years and treatment may not be needed,NHS,0.0005798221878623,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Excision of stomach structure (procedure),53442002,Gastrectomy,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,It may be months before you can return to a more normal diet,NHS,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH
Dysthymia (disorder),78667006,Persistent depressive disorder (dysthymia),IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,"For an adult, depressed mood occurs most of the day for two or more years",MAYO,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Genital warts (disorder),266113007,Genital warts,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.006578947368421,"If symptoms do appear, it can happen over a year after infection.",NHS,0.0001932740626207,0.029377657518361,IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR
Major head injury (disorder),314662007,Severe head injury,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,"The healing process can take many months, although any pain will usually disappear in around 5 to 10 days.",NHS,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH
Bradycardia (finding),48867003,Bradycardia,DECLINE FAST FROM 5 MINUTE TO 1 DAY,0.0344827586206896,"Treatment for bradycardia depends on the type of electrical conduction problem, the severity of symptoms and the cause of your slow heart rate.",MAYO,0.0001932740626207,0.005604947816003,DECLINE,FAST,FROM 5 MINUTE TO 1 DAY
Pediculus humanus (organism),84936006,Body lice,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462,Items that can't be washed or dried should be sealed in a plastic bag and stored in a warm area for two weeks.,MAYO,0.0001932740626207,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH
Furuncle (morphologic abnormality),59843005,Boils and carbuncles,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462,Hasn't healed in two weeks,MAYO,0.0001932740626207,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH
Watery eye (finding),420103007,Watering eyes,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,"Watering eyes are common and often get better on their own, but treatment may be needed if the watering affects your daily activities.",NHS,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Inflammatory bowel disease (disorder),24526004,Inflammatory bowel disease (IBD),IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0031088082901554,"Chronic inflammation can lead to open sores (ulcers) anywhere in your digestive tract, including your mouth and anus, and in the genital area (perineum).",MAYO,0.0005798221878623,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Acromegaly (disorder),74107003,Acromegaly,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.007380073800738,Acromegaly usually develops slowly.,MAYO,0.0003865481252415,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Subdural intracranial hematoma (disorder),95453001,Subdural haematoma,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,"Some people may feel better within a few weeks or months, while others may never make a full recovery even after many years",NHS,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH
"Hodgkin lymphoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)",14537002,Hodgkin lymphoma,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0051413881748071,"Chemotherapy is usually given over a period of a few months on an outpatient basis, which means you shouldn't have to stay in hospital overnight",NHS,0.0003865481252415,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH
Invagination (morphologic abnormality),41444002,Intussusception,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,It's the most common cause of bowel obstruction in children between the ages of 6 months and 3 years.,MAYO,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Prosthetic arthroplasty of the hip (procedure),397956004,Hip replacement,IMPROVE MODERATELY FROM 1 DAY TO 1 WEEK,0.0434782608695652,"If you're generally fit and well, the surgeon may suggest an enhanced recovery programme, where you start walking on the day of the operation and are discharged within 1 to 3 days.",NHS,0.0001932740626207,0.0044453034402783,IMPROVE,MODERATELY,FROM 1 DAY TO 1 WEEK
Lupus erythematosus (disorder),200936003,Lupus,DECLINE FAST FROM 5 MINUTE TO 1 DAY,0.0344827586206896,"Lupus can harm your kidneys in many different ways, and treatments can vary, depending on the type of damage that occurs.",MAYO,0.0001932740626207,0.005604947816003,DECLINE,FAST,FROM 5 MINUTE TO 1 DAY
Optic neuritis (disorder),66760008,Optic neuritis,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR,0.0217391304347826,Most people regain close to normal vision within six months after an optic neuritis episode.,MAYO,0.0001932740626207,0.0088906068805566,IMPROVE,MODERATELY,FROM 6 MONTH TO 1 YEAR
Thalassemia (disorder),40108008,Thalassemia,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.011070110701107,Most children with moderate to severe thalassemia show signs and symptoms within their first two years of life.,MAYO,0.0005798221878623,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Methicillin resistant Staphylococcus aureus infection (disorder),266096002,MRSA,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,"Getting MRSA on your skin will not make you ill, and it may go away in a few hours, days, weeks or months without you noticing",NHS,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH
Intervertebral disc prolapse (disorder),73589001,Herniated disk,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0020725388601036,"If your herniated disk is in your lower back, you'll typically feel the most pain in your buttocks, thigh and calf.",MAYO,0.0003865481252415,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Posttraumatic stress disorder (disorder),47505003,Post-traumatic stress disorder (PTSD),IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0112781954887218,"If the symptoms get worse, last for months or even years, and interfere with your day-to-day functioning, you may have PTSD.",MAYO,0.0005798221878623,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Retinopathy co-occurrent and due to diabetes mellitus (disorder),4855003,Diabetic retinopathy,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.006578947368421,"This should improve gradually, although it may take several months for your vision to fully return to normal",NHS,0.0001932740626207,0.029377657518361,IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR
