snomedConcept,snomedIdentifier,conditionName,predictedTag,confidence,sentence,source,support CNL1L2L3,support L1L2L3
Cellulitis (morphologic abnormality),385627004,Cellulitis,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971015,"In most cases, signs and symptoms of cellulitis disappear after a few days.",MAYO,0.00019327406262079628,0.053343641283339766
Hydrocele (morphologic abnormality),386152007,Hydrocele,DECLINE SLOWLY FROM 6 MONTH TO 1 YEAR,0.08333333333333333,The fluid is usually absorbed gradually within the first year of life.,MAYO,0.00019327406262079628,0.0023192887514495554
Fever (finding),386661006,Fever,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971015,Fevers generally go away within a few days.,MAYO,0.00019327406262079628,0.053343641283339766
Hypothermia (finding),386689009,Hypothermia,DECLINE FAST FROM 5 MINUTE TO 1 DAY,0.03448275862068965,"Left untreated, hypothermia can lead to complete failure of your heart and respiratory system and eventually to death.",MAYO,0.00019327406262079628,0.005604947816003092
Menorrhagia (finding),386692008,Heavy periods,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.006578947368421052,"an IUD (intrauterine contraceptive device, or ""the coil"") – this can make your periods heavier for the first 3 to 6 months after insertion",NHS,0.00019327406262079628,0.029377657518361036
Local anesthesia (procedure),386761002,Local anaesthesia,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.003108808290155441,It normally only takes a few minutes to lose feeling in the area where a local anaesthetic is given.,NHS,0.0005798221878623889,0.18650947042906849
Tic (finding),386783003,Tics,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.015037593984962403,Many tics will eventually go away or improve significantly after a few years,NHS,0.0007730962504831851,0.05141090065713181
Mild cognitive disorder (disorder),386805003,Mild cognitive impairment (MCI),IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003759398496240601,"But some people with mild cognitive impairment never get worse, and a few eventually get better.",MAYO,0.00019327406262079628,0.05141090065713181
Impaired cognition (finding),386806002,Chemo brain,PERMANENT,0.001152073732718894,No alternative treatments have been found to prevent or cure chemo brain.,MAYO,0.00019327406262079628,0.16776188635485118
Phobia (finding),386808001,Phobias,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518132,"Most phobias are curable, but no single treatment is guaranteed to work for all phobias",NHS,0.00019327406262079628,0.18650947042906849
Endoscopy of stomach (procedure),386831001,Gastroscopy,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518132,"A gastroscopy often takes less than 15 minutes, although it may take longer if it's being used to treat a condition.",NHS,0.00019327406262079628,0.18650947042906849
Trastuzumab (substance),387003001,Herceptin (trastuzumab),IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.002072538860103627,The first treatment usually takes about 90 minutes and further treatments take about 30 minutes,NHS,0.00038654812524159255,0.18650947042906849
"Astrocytoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)",38713004,Astrocytoma,PERMANENT,0.001152073732718894,No alternative treatments have been proved to cure gliomas.,MAYO,0.00019327406262079628,0.16776188635485118
Atherosclerosis (morphologic abnormality),38716007,Atherosclerosis (arteriosclerosis),DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,,"Atherosclerosis is a slow, progressive disease that may begin as early as childhood",MAYO,,
Aspirin (substance),387458008,Aspirin,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.005141388174807198,Aspirin is generally safe to take as a painkiller in the first 6 months of pregnancy (up to 30 weeks),NHS,0.00038654812524159255,0.07518361035948977
Jet lag (finding),387604006,Jet lag,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518132,There's no treatment for jet lag,NHS,0.00019327406262079628,0.18650947042906849
Neonatal jaundice (disorder),387712008,Newborn jaundice,IMPROVE MODERATELY FROM 1 DAY TO 1 WEEK,0.04347826086956521,"Phototherapy will be stopped when the bilirubin level falls to a safe level, which usually takes a day or two.",NHS,0.00019327406262079628,0.004445303440278315
Pectus carinatum (disorder),38774000,Pectus carinatum,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.002570694087403599,The brace is worn up to 23 hours a day and symptoms usually begin improving in just a few months.,MAYO,0.00019327406262079628,0.07518361035948977
Cervical spondylosis (disorder),387800004,Cervical spondylosis,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462786,"It usually takes a few weeks for treatment to work, although the pain and stiffness can come back.",NHS,0.00019327406262079628,0.11944337069965212
Turner syndrome (disorder),38804009,Turner syndrome,PERMANENT,0.0034562211981566822,There's no cure for Turner syndrome but many of the associated symptoms can be treated.,NHS,0.0005798221878623889,0.16776188635485118
Cystitis (disorder),38822007,Cystitis,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.025362318840579712,"However, you'll likely need to take antibiotics for three days to a week, depending on the severity of your infection.
No",MAYO,0.001352918438345574,0.053343641283339766
Varicella (disorder),38907003,Chickenpox,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971015,It usually gets better by itself within a week without needing to see a GP,NHS,0.00019327406262079628,0.053343641283339766
Pectus excavatum (disorder),391987005,Pectus excavatum,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369004,Michelle Kroeger had a mild case of pectus that got worse over time.,MAYO,0.00019327406262079628,0.052377270970235784
Colposcopy (procedure),392003006,Colposcopy,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0032362459546925572,You may be referred for a colposcopy within a few weeks of cervical screening if:,NHS,0.00038654812524159255,0.11944337069965212
Zika virus disease (disorder),3928002,Zika virus,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.016528925619834708,"On returning to the UK, you should avoid becoming pregnant for a further 2 months if only the woman travelled, and for 3 months if both partners or just the male partner travelled.",NHS,0.00038654812524159255,0.02338616157711635
Glioma (disorder),393564001,Glioma,PERMANENT,0.001152073732718894,No alternative treatments have been proved to cure gliomas.,MAYO,0.00019327406262079628,0.16776188635485118
Stuttering (finding),39423001,Stuttering,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR,0.021739130434782605,Lasts more than six months,MAYO,0.00019327406262079628,0.00889060688055663
Acute coronary syndrome (disorder),394659003,Acute coronary syndrome,PERMANENT,0.001152073732718894,"Even when there is no cell death, the decrease in oxygen still results in heart muscles that don't work the way they should.",MAYO,0.00019327406262079628,0.16776188635485118
Proctitis (disorder),3951002,Proctitis,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.008264462809917356,Radiation proctitis can begin during radiation treatment and last for a few months after treatment.,MAYO,0.00019327406262079628,0.02338616157711635
Dermatomyositis (disorder),396230008,Dermatomyositis,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369004,The signs and symptoms of dermatomyositis can appear suddenly or develop gradually over time.,MAYO,0.00019327406262079628,0.052377270970235784
Inguinal hernia (disorder),396232000,Inguinal hernia,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518132,"The bulge is likely to be more noticeable when you're standing, and you usually can feel it if you put your hand directly over the affected area.",MAYO,0.00019327406262079628,0.18650947042906849
Osteoarthritis (disorder),396275006,Osteoarthritis,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369004,Osteoarthritis symptoms often develop slowly and worsen over time.,MAYO,0.00019327406262079628,0.052377270970235784
Celiac disease (disorder),396331005,Celiac disease,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.008264462809917356,"For children, that usually takes three to six months.",MAYO,0.00019327406262079628,0.02338616157711635
Metachromatic leucodystrophy (disorder),396338004,Metachromatic leukodystrophy,PERMANENT,0.001152073732718894,There is no cure for metachromatic leukodystrophy yet.,MAYO,0.00019327406262079628,0.16776188635485118
Umbilical hernia (disorder),396347007,Umbilical hernia,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003759398496240601,"Children's umbilical hernias often close on their own in the first two years of life, though some remain open into the fifth year or longer.",MAYO,0.00019327406262079628,0.05141090065713181
Blood test (procedure),396550006,Blood tests,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971015,"Bruises can be painful, but are usually harmless and fade over the next few days",NHS,0.00019327406262079628,0.053343641283339766
Anhidrosis (disorder),39659002,Anhidrosis,DECLINE FAST FROM 5 MINUTE TO 1 DAY,0.03448275862068965,Over most of your body (generalized),MAYO,0.00019327406262079628,0.005604947816003092
Systemic mast cell disease (disorder),397016004,Systemic mastocytosis,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,,The most common form — indolent systemic mastocytosis — progresses slowly,MAYO,,
Gastric ulcer (disorder),397825006,Stomach ulcer,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0032362459546925572,"With treatment, most stomach ulcers will heal within a month or two",NHS,0.00038654812524159255,0.11944337069965212
Diverticular disease (disorder),397881000,Diverticular disease and diverticulitis,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.002072538860103627,"Generally, adults should aim to eat 30g of fibre a day.",NHS,0.00038654812524159255,0.18650947042906849
Talipes equinovarus (disorder),397932003,Club foot,IMPROVE FAST FROM 8 DAY TO 2 MONTH,0.05,Treatment for club foot usually starts within a week or two of your baby being born.,NHS,0.00019327406262079628,0.003865481252415926
Prosthetic arthroplasty of the hip (procedure),397956004,Hip replacement,IMPROVE MODERATELY FROM 1 DAY TO 1 WEEK,0.04347826086956521,"If you're generally fit and well, the surgeon may suggest an enhanced recovery programme, where you start walking on the day of the operation and are discharged within 1 to 3 days.",NHS,0.00019327406262079628,0.004445303440278315
Familial hypercholesterolemia (disorder),398036000,Familial hypercholesterolemia,DECLINE FAST FROM 5 MINUTE TO 1 DAY,0.03448275862068965,This defect prevents the body from ridding itself of the type of cholesterol that can build up in your arteries and cause heart disease.,MAYO,0.00019327406262079628,0.005604947816003092
Mixed collagen vascular disease (disorder),398049005,Mixed connective tissue disease,PERMANENT,0.001152073732718894,There's no cure for mixed connective tissue disease.,MAYO,0.00019327406262079628,0.16776188635485118
Tension-type headache (disorder),398057008,Tension headache,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.002570694087403599,Preventive medications may require several weeks or more to build up in your system before they take effect.,MAYO,0.00019327406262079628,0.07518361035948977
Icteric leptospirosis (disorder),398067003,Leptospirosis (Weil's disease),IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462786,You should make a full recovery in a few days or weeks,NHS,0.00019327406262079628,0.11944337069965212
Hereditary motor and sensory neuropathy (disorder),398100001,Charcot-Marie-Tooth disease,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.007380073800738006,"But the disease generally progresses slowly, and it doesn't affect expected life span.",MAYO,0.00038654812524159255,0.052377270970235784
Acute poliomyelitis (disorder),398102009,Polio,DECLINE MODERATELY FROM 2 MONTH TO 6 MONTH,0.06666666666666665,"The paralysis isn't usually permanent, and movement will often slowly return over the next few weeks and months.",NHS,0.00019327406262079628,0.0028991109393119445
Ehlers-Danlos syndrome (disorder),398114001,Ehlers-Danlos syndromes,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369004,curvature of the spine – this starts in early childhood and often gets worse in the teenage years,NHS,0.00019327406262079628,0.052377270970235784
Poor muscle tone (finding),398152000,Hypotonia,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.007380073800738006,"Depending on the cause, hypotonia can improve, stay the same or get worse over time.",NHS,0.00038654812524159255,0.052377270970235784
Severe acute respiratory syndrome (disorder),398447004,SARS (severe acute respiratory syndrome),PERMANENT,0.001152073732718894,"There's currently no cure for SARS, but research to find a vaccine is ongoing.",NHS,0.00019327406262079628,0.16776188635485118
Whiplash injury to neck (disorder),39848009,Whiplash,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.008264462809917356,It usually gets better within 2 to 3 months,NHS,0.00019327406262079628,0.02338616157711635
Infection caused by Clostridium botulinum (disorder),398565003,Botulism,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR,0.021739130434782605,"Many people recover fully, but it may take months and extended rehabilitation therapy.",MAYO,0.00019327406262079628,0.00889060688055663
Vasovagal syncope (disorder),398665005,Vasovagal syncope,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0051813471502590676,Diagnosing vasovagal syncope often involves ruling out other possible causes of your fainting — particularly heart-related problems.,MAYO,0.0009663703131039817,0.18650947042906849
Colostomy (procedure),398740003,Colostomy,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971015,"After having a colostomy, you'll need to recover in hospital for a few days.",NHS,0.00019327406262079628,0.053343641283339766
Sprain of ligament (disorder),398878007,Sprains,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR,0.021739130434782605,Recovery from sprains can take days to months.,MAYO,0.00019327406262079628,0.00889060688055663
Rosacea (disorder),398909004,Rosacea,DECLINE FAST FROM 5 MINUTE TO 1 DAY,0.03448275862068965,"Over time, the oil glands (sebaceous glands) in your nose and sometimes your cheeks become enlarged, resulting in a buildup of tissue on and around your nose — a condition called rhinophyma (rie-no-FIE-muh).",MAYO,0.00019327406262079628,0.005604947816003092
Congestive cardiomyopathy (disorder),399020009,Dilated cardiomyopathy,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518132,Call 911 or your local emergency number if you feel chest pain that lasts more than a few minutes or have severe difficulty breathing.,MAYO,0.00019327406262079628,0.18650947042906849
Malignant tumor of prostate (disorder),399068003,Prostate cancer,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.007380073800738006,"It usually develops slowly, so there may be no signs for many years",NHS,0.00038654812524159255,0.052377270970235784
Adhesive capsulitis of shoulder (disorder),399114005,Frozen shoulder,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.007380073800738006,"Signs and symptoms typically begin gradually, worsen over time and then resolve, usually within one to three years.",MAYO,0.00038654812524159255,0.052377270970235784
Hereditary spastic paraplegia (disorder),39912006,Hereditary spastic paraplegia,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369004,Symptoms gradually get worse over time,NHS,0.00019327406262079628,0.052377270970235784
Vertigo (finding),399153001,Vertigo,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.002570694087403599,"If you have severe vertigo, it can last for many days or months",NHS,0.00019327406262079628,0.07518361035948977
Burning mouth syndrome (disorder),399165002,Burning mouth syndrome,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003759398496240601,"Whatever pattern of mouth discomfort you have, burning mouth syndrome may last for months to years.",MAYO,0.00019327406262079628,0.05141090065713181
Hemochromatosis (disorder),399187006,Hemochromatosis,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.013157894736842105,It may take a year or longer to reduce the iron in your body to normal levels.,MAYO,0.00038654812524159255,0.029377657518361036
Malignant tumor of urinary bladder (disorder),399326009,Bladder cancer,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0032362459546925572,Most people are able to leave hospital less than 48 hours after having TURBT and are able to resume normal physical activity within 2 weeks.,NHS,0.00038654812524159255,0.11944337069965212
Juvenile cataract (disorder),399336001,Cataracts (children),IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971015,The second operation will usually take place within a week of the first,NHS,0.00019327406262079628,0.053343641283339766
Pressure ulcer (disorder),399912005,Bedsores (pressure ulcers),DECLINE FAST FROM 1 DAY TO 1 WEEK,0.05555555555555555,Bedsores can develop over hours or days.,MAYO,0.00019327406262079628,0.0034789331271743327
Hirsutism (disorder),399939002,Hirsutism,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.002570694087403599,"With these medications it usually takes up to six months, the average life cycle of a hair follicle, before you see a significant difference in hair growth.",MAYO,0.00019327406262079628,0.07518361035948977
Craniopharyngioma (morphologic abnormality),40009002,Craniopharyngioma,PERMANENT,0.001152073732718894,No alternative treatments have been proved to cure brain tumors.,MAYO,0.00019327406262079628,0.16776188635485118
Melanocytic nevus (disorder),400096001,Moles,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0032362459546925572,These changes can happen over weeks or months.,NHS,0.00038654812524159255,0.11944337069965212
Temporal arteritis (disorder),400130008,Giant cell arteritis,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971015,You'll likely begin to feel better within a few days of beginning treatment.,MAYO,0.00019327406262079628,0.053343641283339766
Ingrowing toenail (disorder),400200009,Ingrown toenails,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518132,Often you can take care of ingrown toenails on your own.,MAYO,0.00019327406262079628,0.18650947042906849
Pityriasis capitis (disorder),400201008,Dandruff,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369004,Stress and cold weather may also make dandruff worse.,NHS,0.00019327406262079628,0.052377270970235784
Hemangioma (disorder),400210000,Hemangioma,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462786,"Many hemangiomas disappear by age 5, and most are gone by age 10. The skin may be slightly discolored or raised after the hemangioma goes away.",MAYO,0.00019327406262079628,0.11944337069965212
Infection caused by Molluscum contagiosum (disorder),40070004,Molluscum contagiosum,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.016528925619834708,Treatment for molluscum contagiosum (MC) is not routinely recommended because most cases clear up on their own in around 6 to 18 months.,NHS,0.00038654812524159255,0.02338616157711635
Thalassemia (disorder),40108008,Thalassemia,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.011070110701107012,Most children with moderate to severe thalassemia show signs and symptoms within their first two years of life.,MAYO,0.0005798221878623889,0.052377270970235784
Vesicular hand eczema (disorder),402222007,Dyshidrosis,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003759398496240601,Dyshidrosis tends to recur fairly regularly for months or years.,MAYO,0.00019327406262079628,0.05141090065713181
Contact dermatitis (disorder),40275004,Contact dermatitis,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0032362459546925572,"If you can avoid the offending substance, the rash usually clears up in two to four weeks.",MAYO,0.00038654812524159255,0.11944337069965212
Squamous cell carcinoma (disorder),402815007,Skin cancer (non-melanoma),DECLINE MODERATELY FROM 2 MONTH TO 6 MONTH,0.06666666666666665,The first sign of non-melanoma skin cancer is usually the appearance of a lump or discoloured patch on the skin that persists after a few weeks and slowly progresses over months or sometimes years,NHS,0.00019327406262079628,0.0028991109393119445
Germ cell tumor (disorder),402878003,Germ cell tumors,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518132,"Germ cell tumors tend to respond to treatment and many can be cured, even when diagnosed at a late stage.",MAYO,0.00019327406262079628,0.18650947042906849
Primary herpes simplex keratoconjunctivitis (disorder),402885004,Herpes simplex eye infections,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003759398496240601,"Most people will experience more than 1 infection, with about 1 in 5 having a recurrence within a year",NHS,0.00019327406262079628,0.05141090065713181
Spider bite wound (disorder),403149008,Spider bites,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971015,The bite usually heals on its own in about a week.,MAYO,0.00019327406262079628,0.053343641283339766
Epidermal burn of skin (disorder),403190006,First degree burn,IMPROVE MODERATELY FROM 1 DAY TO 1 WEEK,0.04347826086956521,"Minor burns affecting the outer layer of skin and some of the underlying layer of tissue (superficial dermal burns) normally heal in around 14 days, leaving minimal scarring.",NHS,0.00019327406262079628,0.004445303440278315
Partial thickness burn (disorder),403191005,Second degree burn,IMPROVE MODERATELY FROM 1 DAY TO 1 WEEK,0.04347826086956521,"Minor burns affecting the outer layer of skin and some of the underlying layer of tissue (superficial dermal burns) normally heal in around 14 days, leaving minimal scarring.",NHS,0.00019327406262079628,0.004445303440278315
Full thickness burn (disorder),403192003,Third degree burn,IMPROVE MODERATELY FROM 1 DAY TO 1 WEEK,0.04347826086956521,"Minor burns affecting the outer layer of skin and some of the underlying layer of tissue (superficial dermal burns) normally heal in around 14 days, leaving minimal scarring.",NHS,0.00019327406262079628,0.004445303440278315
Solar erythema (disorder),403194002,Sunburn,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.007246376811594203,"Within a few days, your body may start to heal itself by peeling the damaged skin's top layer.",MAYO,0.00038654812524159255,0.053343641283339766
Paget's disease of nipple (disorder),403946000,Paget's disease of the nipple,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003759398496240601,Lymphoedema can develop months or sometimes years after surgery,NHS,0.00019327406262079628,0.05141090065713181
Postconcussion syndrome (disorder),40425004,Post-concussion syndrome,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR,0.021739130434782605,Post-concussion syndrome is a complex disorder in which various symptoms — such as headaches and dizziness — last for weeks and sometimes months after the injury that caused the concussion.,MAYO,0.00019327406262079628,0.00889060688055663
Dizziness (finding),404640003,Dizziness,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971015,The episode may last seconds or days and may recur.,MAYO,0.00019327406262079628,0.053343641283339766
"Viral hepatitis, type A (disorder)",40468003,Hepatitis A,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR,0.04347826086956521,"Hepatitis A can be unpleasant, but it's not usually serious and most people make a full recovery within a couple of months.",NHS,0.00038654812524159255,0.00889060688055663
Malignant hyperthermia (finding),405501007,Malignant hyperthermia,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971015,Malignant hyperthermia usually resolves within a few days with treatment.,MAYO,0.00019327406262079628,0.053343641283339766
BRCA1 mutation carrier detection test (procedure),405823003,Genetic test for cancer gene,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462786,"It takes 4 to 8 weeks to get the result, but this is not fully predictive as a negative test, so cannot rule out that the problem in relatives is due to a different gene",NHS,0.00019327406262079628,0.11944337069965212
Genetic test (procedure),405824009,Genetic and genomic testing,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.002570694087403599,"Depending on the reason for your test, it could be weeks or months",NHS,0.00019327406262079628,0.07518361035948977
BRCA2 mutation carrier detection test (procedure),405826006,Genetic test for cancer gene,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462786,"It takes 4 to 8 weeks to get the result, but this is not fully predictive as a negative test, so cannot rule out that the problem in relatives is due to a different gene",NHS,0.00019327406262079628,0.11944337069965212
Attention deficit hyperactivity disorder (disorder),406506008,Attention-deficithyperactivity disorder (ADHD) in children,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369004,"Although still unproved, it may be prudent for children to avoid excessive exposure to TV and video games in the first five years of life.",MAYO,0.00019327406262079628,0.052377270970235784
Infection caused by Toxocara (disorder),406619001,Toxocariasis,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462786,"For most people, an infection with these roundworm larvae causes no symptoms and the parasites die within a few months.",NHS,0.00019327406262079628,0.11944337069965212
Echocardiography (procedure),40701008,Echocardiogram,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518132,"The whole procedure will usually take between 15 and 60 minutes, and you'll normally be able to go home shortly afterwards.",NHS,0.00019327406262079628,0.18650947042906849
Genus Norovirus (organism),407359000,Norovirus (vomiting bug),IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.007246376811594203,"It can be very unpleasant, but usually goes away in about 2 days",NHS,0.00038654812524159255,0.053343641283339766
Dysphagia (disorder),40739000,Dysphagia (swallowing problems),IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.016528925619834708,PEG tubes are designed for long-term use and last several months before they need replacing.,NHS,0.00038654812524159255,0.02338616157711635
Genus Cytomegalovirus (organism),407444007,Cytomegalovirus (CMV),IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462786,"If you do have symptoms, they normally get better on their own within about 3 weeks.",NHS,0.00019327406262079628,0.11944337069965212
Autoimmune hepatitis (disorder),408335007,Autoimmune hepatitis,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518132,"Depending on your situation, you may require lifelong treatment.",MAYO,0.00019327406262079628,0.18650947042906849
Allergy - specialty (qualifier value),408439002,Allergies,PERMANENT,0.002304147465437788,"While most allergies can't be cured, treatments can help relieve your allergy symptoms.",MAYO,0.00038654812524159255,0.16776188635485118
Counseling (procedure),409063005,Counselling,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462786,"You may be offered a single session of counselling, a short course of sessions over a few weeks or months, or a longer course that lasts for several months or years.",NHS,0.00019327406262079628,0.11944337069965212
Hypothyroidism (disorder),40930008,Hypothyroidism,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369004,"Problems tend to develop slowly, often over a number of years.",MAYO,0.00019327406262079628,0.052377270970235784
Anthrax (disorder),409498004,Anthrax,PERMANENT,0.001152073732718894,Prompt treatment with antibiotics can cure most anthrax infections.,MAYO,0.00019327406262079628,0.16776188635485118
Guillain-Barré syndrome (disorder),40956001,Guillain-Barre syndrome,DECLINE FAST FROM 5 MINUTE TO 1 DAY,0.03448275862068965,Weakness and tingling in your extremities are usually the first symptoms.,MAYO,0.00019327406262079628,0.005604947816003092
Benign neoplasm of peripheral nerve (disorder),409660009,Benign peripheral nerve tumor,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369004,An intraneural perineurioma occurs most commonly in children and young adults and typically causes gradually progressive weakness and sensory loss involving an arm or leg.,MAYO,0.00019327406262079628,0.052377270970235784
Mitral valve prolapse (disorder),409712001,Mitral valve prolapse,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003759398496240601,"You generally won't need to take a blood thinner with a valve made from human or animal tissue, but those valves only last about 10 years.",MAYO,0.00019327406262079628,0.05141090065713181
Intermittent explosive disorder (disorder),40987004,Intermittent explosive disorder,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462786,These episodes may occur frequently or be separated by weeks or months of nonaggression.,MAYO,0.00019327406262079628,0.11944337069965212
Complete trisomy 21 syndrome (disorder),41040004,Down syndrome,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR,0.021739130434782605,"This test is typically performed in the first trimester, between 10 and 13 weeks of pregnancy.",MAYO,0.00019327406262079628,0.00889060688055663
Cardiac arrest (disorder),410429000,Sudden cardiac arrest,DECLINE FAST FROM 5 MINUTE TO 1 DAY,0.03448275862068965,"When the heart stops, the lack of oxygenated blood can cause death or permanent brain damage in minutes.",MAYO,0.00019327406262079628,0.005604947816003092
Bronchiolitis (disorder),4120002,Bronchiolitis,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.008264462809917356,"Typically, the peak time for bronchiolitis is during the winter months.",MAYO,0.00019327406262079628,0.02338616157711635
Presbyopia (disorder),41256004,Presbyopia,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369004,Progressive multifocals.,MAYO,0.00019327406262079628,0.052377270970235784
Angioedema (disorder),41291007,Angioedema,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971015,"The swelling will usually get better by itself in a few days, but there are treatments that can help it settle faster and reduce the risk of it happening again.",NHS,0.00019327406262079628,0.053343641283339766
Alcoholic liver damage (disorder),41309000,Alcohol-related liver disease,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369004,"Many people die from the condition each year in the UK, and some people only find out they have liver damage when their condition reaches this stage.",NHS,0.00019327406262079628,0.052377270970235784
Acute myeloid leukemia - category (morphologic abnormality),413443009,Acute myeloid leukaemia,DECLINE MODERATELY FROM 8 DAY TO 2 MONTH,0.03225806451612903,The symptoms of AML usually develop over a few weeks and become worse over time.,NHS,0.00019327406262079628,0.005991495941244685
