snomedConcept,snomedIdentifier,descendantId,descendantConcept,query,propagation
Acute coronary syndrome (disorder),394659003,413444003,Acute myocardial ischemia (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<80891009|Heart structure (body structure)|,116676008|Associated morphology (attribute)| = 449735000|Structural change due to ischemia (morphologic abnormality)|} AND [1..1]{263502005|Clinical course (attribute)| = 424124008|Sudden onset AND/OR short duration (qualifier value)|})&limit=7000",4
Proctitis (disorder),3951002,13008751000119103,Allergic proctocolitis caused by food protein (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<34402009|Rectum structure (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|})&limit=7000",13
Dermatomyositis (disorder),396230008,311671000119100,Juvenile dermatomyositis co-occurrent with respiratory involvement (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<127954009|Skeletal muscle structure (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|} AND [1..1]{363698007|Finding site (attribute)| = <<39937001|Skin structure (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|})&limit=7000",11
Inguinal hernia (disorder),396232000,772144008,Obstruction co-occurrent and due to right inguinal hernia (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<90785001|Inguinal canal structure (body structure)|,116676008|Associated morphology (attribute)| = 414402003|Hernial opening (morphologic abnormality)|} AND [1..1]{363698007|Finding site (attribute)| = <<818993005|Structure of organ within abdominopelvic cavity (body structure)|,116676008|Associated morphology (attribute)| = 414403008|Herniated structure (morphologic abnormality)|})&limit=7000",15
Osteoarthritis (disorder),396275006,16583361000119101,Osteoarthritis of joint right ankle (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<39352004|Joint structure (body structure)|,116676008|Associated morphology (attribute)| = 107669003|Degenerative abnormality (morphologic abnormality)|})&limit=7000",219
Celiac disease (disorder),396331005,770593004,Refractory celiac disease (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<113276009|Intestinal structure (body structure)|,246075003|Causative agent (attribute)| = 89811004|Gluten (substance)|})&limit=7000",6
Umbilical hernia (disorder),396347007,773660001,Recurrent umbilical hernia (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<818983003|Structure of abdominopelvic cavity and/or content of abdominopelvic cavity and/or anterior abdominal wall (body structure)|,116676008|Associated morphology (attribute)| = 414403008|Herniated structure (morphologic abnormality)|} AND [1..1]{363698007|Finding site (attribute)| = <<78220002|Umbilical structure (body structure)|,116676008|Associated morphology (attribute)| = 414402003|Hernial opening (morphologic abnormality)|})&limit=7000",13
Blood test (procedure),396550006,444309000,Determination of karyotype from blood specimen (procedure),(*):  ([1..1]{116686009|Has specimen (attribute)| = <<119297000|Blood specimen (specimen)|} AND [1..1]{260686004|Method (attribute)| = 129265001|Evaluation - action (qualifier value)|})&limit=7000,29
Systemic mast cell disease (disorder),397016004,770402000,Aleukemic mast cell leukemia (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<6445007|Mast cell (cell)|,116676008|Associated morphology (attribute)| = 76197007|Hyperplasia (morphologic abnormality)|,370135005|Pathological process (attribute)| = 769247005|Abnormal immune process (qualifier value)|})&limit=7000",6
Gastric ulcer (disorder),397825006,129141000119104,Gastric ulcer caused by non-steroidal anti-inflammatory drug in therapeutic use (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<69695003|Stomach structure (body structure)|,116676008|Associated morphology (attribute)| = 56208002|Ulcer (morphologic abnormality)|})&limit=7000",35
Diverticular disease (disorder),397881000,1086601000119100,Intestinal hemorrhage co-occurrent and due to diverticulosis (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<113276009|Intestinal structure (body structure)|,116676008|Associated morphology (attribute)| = 125285008|Multiple diverticula (morphologic abnormality)|})&limit=7000",73
Talipes equinovarus (disorder),397932003,63051000119101,Fetal clubfoot (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<344001|Ankle region structure (body structure)|,116676008|Associated morphology (attribute)| = 90510001|Extension deformity (morphologic abnormality)|} AND [1..1]{363698007|Finding site (attribute)| = <<56459004|Foot structure (body structure)|,116676008|Associated morphology (attribute)| = 127562007|Varus deformity (morphologic abnormality)|})&limit=7000",2
Prosthetic arthroplasty of the hip (procedure),397956004,397956004,Prosthetic arthroplasty of the hip (procedure),"(*):  ([1..1]{260686004|Method (attribute)| = 257903006|Repair - action (qualifier value)|,405813007|Procedure site - Direct (attribute)| = <<24136001|Hip joint structure (body structure)|} AND [1..1]{260686004|Method (attribute)| = 425362007|Surgical insertion - action (qualifier value)|,405814001|Procedure site - Indirect (attribute)| = 24136001|Hip joint structure (body structure)|,363699004|Direct device (attribute)| = 67270000|Hip prosthesis, device (physical object)|})&limit=7000",8
Familial hypercholesterolemia (disorder),398036000,15771000119109,Familial hyperalphalipoproteinemia (disorder),"(*):  ([1..1]{363714003|Interprets (attribute)| = 412808005|Serum total cholesterol measurement (procedure)|,363713009|Has interpretation (attribute)| = 281302008|Above reference range (qualifier value)|})&limit=7000",20
Mixed collagen vascular disease (disorder),398049005,398049005,Mixed collagen vascular disease (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<39937001|Skin structure (body structure)|,370135005|Pathological process (attribute)| = 263680009|Autoimmune process (qualifier value)|} AND [1..1]{363698007|Finding site (attribute)| = <<21793004|Connective tissue structure (body structure)|})&limit=7000",3
Icteric leptospirosis (disorder),398067003,840440006,Encephalitis caused by Leptospira species (disorder),"(*):  ([1..1]{370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 26764003|Genus Leptospira (organism)|})&limit=7000",13
Acute poliomyelitis (disorder),398102009,398102009,Acute poliomyelitis (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<21483005|Structure of central nervous system (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|,370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 44172002|Human poliovirus (organism)|} AND [1..1]{263502005|Clinical course (attribute)| = 424124008|Sudden onset AND/OR short duration (qualifier value)|})&limit=7000",8
Ehlers-Danlos syndrome (disorder),398114001,778022009,Ehlers-Danlos syndrome due to tenascin-X deficiency (disorder),"(*):  ([1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<39937001|Skin structure (body structure)|,116676008|Associated morphology (attribute)| = 25723000|Dysplasia (morphologic abnormality)|,370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|} AND [1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<272673000|Bone structure (body structure)|,116676008|Associated morphology (attribute)| = 25723000|Dysplasia (morphologic abnormality)|,370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|} AND [1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<21793004|Connective tissue structure (body structure)|,116676008|Associated morphology (attribute)| = 49755003|Morphologically abnormal structure (morphologic abnormality)|,370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|})&limit=7000",26
Poor muscle tone (finding),398152000,15748601000119106,Tightness of right gastrocnemius muscle (finding),(*):  ([1..1]{363698007|Finding site (attribute)| = <<127954009|Skeletal muscle structure (body structure)|} AND [1..1]{363714003|Interprets (attribute)| = 6918002|Muscle tone (observable entity)|})&limit=7000,49
Severe acute respiratory syndrome (disorder),398447004,715882005,Severe acute respiratory syndrome of upper respiratory tract (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<20139000|Structure of respiratory system (body structure)|,370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 415360003|Severe acute respiratory syndrome-related coronavirus (organism)|})&limit=7000",4
Whiplash injury to neck (disorder),39848009,737234002,Traumatic edema of cervical spinal cord (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<45048000|Neck structure (body structure)|,116676008|Associated morphology (attribute)| = 37782003|Damage (morphologic abnormality)|} AND [1..1]{42752001|Due to (attribute)| = 773760007|Traumatic event (event)|})&limit=7000",105
Infection caused by Clostridium botulinum (disorder),398565003,409563004,Intestinal botulism (disorder),"(*):  ([1..1]{370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 13080008|Clostridium botulinum (organism)|})&limit=7000",3
Vasovagal syncope (disorder),398665005,723148003,Syncope due to autonomic failure (disorder),"(*):  ([1..1]{363714003|Interprets (attribute)| = 6942003|Level of consciousness (observable entity)|,363713009|Has interpretation (attribute)| = 1250004|Decreased (qualifier value)|} AND [1..1]{263502005|Clinical course (attribute)| = 424124008|Sudden onset AND/OR short duration (qualifier value)|} AND [1..1]{363698007|Finding site (attribute)| = <<113257007|Structure of cardiovascular system (body structure)|})&limit=7000",20
Colostomy (procedure),398740003,448653006,Anterior resection of rectum and total mesorectal excision with colostomy (procedure),"(*):  ([1..1]{260686004|Method (attribute)| = 129376004|Construction - action (qualifier value)|,405813007|Procedure site - Direct (attribute)| = <<71854001|Colon structure (body structure)|,363700003|Direct morphology (attribute)| = 264585001|Colostomy - stoma (morphologic abnormality)|})&limit=7000",28
Sprain of ligament (disorder),398878007,11833791000119103,Sprain of talofibular ligament of left ankle (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<52082005|Structure of ligament (body structure)|,116676008|Associated morphology (attribute)| = 384709000|Sprain (morphologic abnormality)|} AND [1..1]{42752001|Due to (attribute)| = 773760007|Traumatic event (event)|})&limit=7000",128
Congestive cardiomyopathy (disorder),399020009,111000119104,Nonischemic congestive cardiomyopathy (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<74281007|Myocardium structure (body structure)|,116676008|Associated morphology (attribute)| = 25322007|Dilatation (morphologic abnormality)|})&limit=7000",63
Malignant tumor of prostate (disorder),399068003,1098981000119101,Recurrent malignant neoplasm of prostate (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<41216001|Prostatic structure (body structure)|,116676008|Associated morphology (attribute)| = 367651003|Malignant neoplasm of primary, secondary, or uncertain origin (morphologic abnormality)|})&limit=7000",7
Hereditary spastic paraplegia (disorder),39912006,789674008,"Spastic paraplegia, optic atrophy, neuropathy and spastic paraplegia, optic atrophy neuropathy-related disorder (disorder)","(*):  ([1..1]{363698007|Finding site (attribute)| = <<61685007|Lower limb structure (body structure)|} AND [1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<2748008|Spinal cord structure (body structure)|,116676008|Associated morphology (attribute)| = 107669003|Degenerative abnormality (morphologic abnormality)|})&limit=7000",79
Malignant tumor of urinary bladder (disorder),399326009,702467006,Malignant neoplasm of augmented bladder (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<89837001|Urinary bladder structure (body structure)|,116676008|Associated morphology (attribute)| = 367651003|Malignant neoplasm of primary, secondary, or uncertain origin (morphologic abnormality)|})&limit=7000",20
Juvenile cataract (disorder),399336001,15990111000119104,Cloudy posterior capsule of left eye (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<78076003|Structure of lens of eye (body structure)|,116676008|Associated morphology (attribute)| = 128305008|Abnormally opaque structure (morphologic abnormality)|})&limit=7000",190
Pressure ulcer (disorder),399912005,10637151000119101,Pressure ulcer of buttock stage 4 (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<39937001|Skin structure (body structure)|,116676008|Associated morphology (attribute)| = 420226006|Pressure ulcer (morphologic abnormality)|})&limit=7000",40
Hirsutism (disorder),399939002,15732281000119103,Trichiasis of bilateral eyes (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<386045008|Hair structure (body structure)|,116676008|Associated morphology (attribute)| = 57697001|Growth alteration (morphologic abnormality)|})&limit=7000",72
Temporal arteritis (disorder),400130008,400130008,Temporal arteritis (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<15672000|Structure of superficial temporal artery (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|})&limit=7000",4
Pityriasis capitis (disorder),400201008,778075008,Pityriasis simplex capitis (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<39937001|Skin structure (body structure)|,116676008|Associated morphology (attribute)| = 1806006|Eruption (morphologic abnormality)|} AND [1..1]{363698007|Finding site (attribute)| = <<43067004|Skin structure of scalp (body structure)|,116676008|Associated morphology (attribute)| = 400183000|Exfoliative lesion (morphologic abnormality)|})&limit=7000",4
Infection caused by Molluscum contagiosum (disorder),40070004,765783008,Infection of skin caused by Molluscum contagiosum (disorder),"(*):  ([1..1]{370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 68855006|Molluscum contagiosum virus (organism)|})&limit=7000",7
Thalassemia (disorder),40108008,10806241000119108,Thalassemia in mother complicating childbirth (disorder),"(*):  ([1..1]{363714003|Interprets (attribute)| = 441689006|Measurement of total hemoglobin concentration (procedure)|,363713009|Has interpretation (attribute)| = <<281300000|Below reference range (qualifier value)|} AND [1..1]{363714003|Interprets (attribute)| = 14089001|Red blood cell count (procedure)|,363713009|Has interpretation (attribute)| = <<281300000|Below reference range (qualifier value)|} AND [1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<41898006|Erythrocyte (cell)|})&limit=7000",91
Vesicular hand eczema (disorder),402222007,402226005,Chronic relapsing vesiculosquamous hand eczema (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<33712006|Skin structure of hand (body structure)|,116676008|Associated morphology (attribute)| = 72095004|Vesicular inflammation (morphologic abnormality)|} AND [1..1]{47429007|Associated with (attribute)| = 115665000|Atopy (finding)|})&limit=7000",7
Contact dermatitis (disorder),40275004,126631000119108,Contact dermatitis caused by adhesive bandage (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<39937001|Skin structure (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|,370135005|Pathological process (attribute)| = 769258001|Contact hypersensitivity process (qualifier value)|})&limit=7000",67
Primary herpes simplex keratoconjunctivitis (disorder),402885004,402885004,Primary herpes simplex keratoconjunctivitis (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<28726007|Corneal structure (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|,370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 19965007|Human herpes simplex virus (organism)|} AND [1..1]{363698007|Finding site (attribute)| = <<29445007|Conjunctival structure (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|,370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 19965007|Human herpes simplex virus (organism)|})&limit=7000",2
Spider bite wound (disorder),403149008,838335003,Arthropod bite caused by Atrax (disorder),(*):  ([1..1]{116676008|Associated morphology (attribute)| = 770951006|Superficial bite wound (morphologic abnormality)|} AND [1..1]{42752001|Due to (attribute)| = 771257008|Bite of spider (event)|})&limit=7000,2
Epidermal burn of skin (disorder),403190006,11987991000119107,Epidermal burn of right wrist (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<39937001|Skin structure (body structure)|,116676008|Associated morphology (attribute)| = 77140003|First degree burn injury (morphologic abnormality)|} AND [1..1]{42752001|Due to (attribute)| = 773760007|Traumatic event (event)|})&limit=7000",86
Partial thickness burn (disorder),403191005,12204271000119108,Partial thickness burn of lower back (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<39937001|Skin structure (body structure)|,116676008|Associated morphology (attribute)| = 46541008|Second degree burn injury (morphologic abnormality)|} AND [1..1]{42752001|Due to (attribute)| = 773760007|Traumatic event (event)|})&limit=7000",90
Full thickness burn (disorder),403192003,12105581000119108,Full thickness burn of palmar area of right hand (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<127856007|Skin and/or subcutaneous tissue structure (body structure)|,116676008|Associated morphology (attribute)| = 80247002|Third degree burn injury (morphologic abnormality)|} AND [1..1]{42752001|Due to (attribute)| = 773760007|Traumatic event (event)|})&limit=7000",115
Solar erythema (disorder),403194002,403194002,Solar erythema (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<39937001|Skin structure (body structure)|,116676008|Associated morphology (attribute)| = 70819003|Erythema (morphologic abnormality)|,246075003|Causative agent (attribute)| = 41355003|Ultraviolet radiation (physical force)|})&limit=7000",1
Paget's disease of nipple (disorder),403946000,403946000,Paget's disease of nipple (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<54468004|Skin structure of nipple (body structure)|,116676008|Associated morphology (attribute)| = 2985005|Paget's disease, mammary (morphologic abnormality)|})&limit=7000",1
Postconcussion syndrome (disorder),40425004,40425004,Postconcussion syndrome (disorder),"(*):  ([1..1]{363714003|Interprets (attribute)| = 311465003|Cognitive functions (observable entity)|,363713009|Has interpretation (attribute)| = 260379002|Impaired (qualifier value)|} AND [1..1]{255234002|After (attribute)| = 110030002|Concussion injury of brain (disorder)|} AND [1..1]{363698007|Finding site (attribute)| = <<12738006|Brain structure (body structure)|,116676008|Associated morphology (attribute)| = 37782003|Damage (morphologic abnormality)|} AND [1..1]{42752001|Due to (attribute)| = 773760007|Traumatic event (event)|} AND [1..1]{255234002|After (attribute)| = 773760007|Traumatic event (event)|})&limit=7000",1
"Viral hepatitis, type A (disorder)",40468003,424758008,"Viral hepatitis A without hepatic coma, without hepatitis delta (disorder)","(*):  ([1..1]{363698007|Finding site (attribute)| = <<10200004|Liver structure (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|,370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 32452004|Hepatitis A virus (organism)|})&limit=7000",5
Malignant hyperthermia (finding),405501007,130091000119103,Postprocedural fever (finding),"(*):  ([1..1]{363714003|Interprets (attribute)| = 386725007|Body temperature (observable entity)|,363713009|Has interpretation (attribute)| = 281302008|Above reference range (qualifier value)|})&limit=7000",83
Attention deficit hyperactivity disorder (disorder),406506008,702815001,"Attention deficit hyperactivity disorder, inattentive presentation (restrictive) (disorder)",(*):  ([1..1]{370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|} AND [1..1]{363714003|Interprets (attribute)| = 364665006|Ability to perform function / activity (observable entity)|})&limit=7000,20
Infection caused by Toxocara (disorder),406619001,417097002,Toxocara granuloma (disorder),"(*):  ([1..1]{370135005|Pathological process (attribute)| = 442614005|Parasitic process (qualifier value)|,246075003|Causative agent (attribute)| = 39091000|Toxocara (organism)|})&limit=7000",5
Echocardiography (procedure),40701008,422851000119101,Two dimensional echocardiography of fetus (procedure),"(*):  ([1..1]{260686004|Method (attribute)| = <<278292003|Ultrasound imaging - action (qualifier value)|,405813007|Procedure site - Direct (attribute)| = <<80891009|Heart structure (body structure)|})&limit=7000",56
Autoimmune hepatitis (disorder),408335007,721713007,Autoimmune hepatitis type 3 (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<10200004|Liver structure (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|,370135005|Pathological process (attribute)| = 263680009|Autoimmune process (qualifier value)|})&limit=7000",5
Anthrax (disorder),409498004,720990007,Meningitis caused by Bacillus anthracis (disorder),"(*):  ([1..1]{370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 21927003|Bacillus anthracis (organism)|})&limit=7000",8
Guillain-Barré syndrome (disorder),40956001,783244002,Acute pure sensory neuropathy (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<84782009|Peripheral nerve structure (body structure)|,116676008|Associated morphology (attribute)| = 32693004|Demyelination (morphologic abnormality)|,370135005|Pathological process (attribute)| = 263680009|Autoimmune process (qualifier value)|} AND [1..1]{363698007|Finding site (attribute)| = <<84782009|Peripheral nerve structure (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|,370135005|Pathological process (attribute)| = 263680009|Autoimmune process (qualifier value)|} AND [1..1]{263502005|Clinical course (attribute)| = 424124008|Sudden onset AND/OR short duration (qualifier value)|})&limit=7000",8
Benign neoplasm of peripheral nerve (disorder),409660009,409660009,Benign neoplasm of peripheral nerve (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<84782009|Peripheral nerve structure (body structure)|,116676008|Associated morphology (attribute)| = 3898006|Neoplasm, benign (morphologic abnormality)|})&limit=7000",26
Mitral valve prolapse (disorder),409712001,286031000119106,Rheumatic mitral valve prolapse (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<91134007|Mitral valve structure (body structure)|,116676008|Associated morphology (attribute)| = 29696001|Prolapse (morphologic abnormality)|})&limit=7000",10
Complete trisomy 21 syndrome (disorder),41040004,125501000119105,Fetus with complete trisomy 21 syndrome (disorder),"(*):  ([1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<43009003|Chromosome pair 21 (cell structure)|,116676008|Associated morphology (attribute)| = 107673000|Cellular AND/OR subcellular abnormality (morphologic abnormality)|} AND [1..1]{116676008|Associated morphology (attribute)| = 78989007|Trisomy (morphologic abnormality)|})&limit=7000",5
Bronchiolitis (disorder),4120002,10629191000119100,Bronchiolitis caused by influenza virus (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<55214000|Bronchiole structure (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|})&limit=7000",5
Alcoholic liver damage (disorder),41309000,721710005,Fibrosis of liver caused by alcohol (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<10200004|Liver structure (body structure)|,116676008|Associated morphology (attribute)| = 37782003|Damage (morphologic abnormality)|,246075003|Causative agent (attribute)| = 311492009|Ingestible alcohol (substance)|})&limit=7000",12
Allergy to food (finding),414285001,432807008,Pollen-food allergy (finding),"(*):  ([1..1]{719722006|Has realization (attribute)| = 472964009|Allergic process (qualifier value)|,246075003|Causative agent (attribute)| = 762766007|Edible substance (substance)|})&limit=7000",2
Blepharitis (disorder),41446000,681071000119104,Angular blepharitis of left eyelid (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<77024004|Structure of free margin of eyelid (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|})&limit=7000",33
Kyphosis deformity of spine (disorder),414564002,313471000119104,Lumbar lordosis (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<289959001|Musculoskeletal structure of spine (body structure)|,116676008|Associated morphology (attribute)| = 46360000|Abnormal curvature (morphologic abnormality)|})&limit=7000",20
Myocardial ischemia (disorder),414795007,10971000087107,Myocardial ischemia during surgery (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<74281007|Myocardium structure (body structure)|,116676008|Associated morphology (attribute)| = 449735000|Structural change due to ischemia (morphologic abnormality)|})&limit=7000",9
Onychomycosis (disorder),414941008,770642000,Onychomycosis of nail of digit of hand (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<770802007|Nail unit structure (body structure)|,370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 414561005|Kingdom Fungi (organism)|})&limit=7000",8
Febrile convulsion (finding),41497008,784372002,Familial mesial temporal lobe epilepsy with febrile seizures (disorder),(*):  ([1..1]{47429007|Associated with (attribute)| = 386661006|Fever (finding)|} AND [1..1]{363698007|Finding site (attribute)| = <<12738006|Brain structure (body structure)|})&limit=7000,6
Placental abruption (disorder),415105001,10751771000119107,Placental abruption due to afibrinogenemia (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<78067005|Placental structure (body structure)|,116676008|Associated morphology (attribute)| = 16640008|Separation (morphologic abnormality)|})&limit=7000",8
Whipple's disease (disorder),41545003,733148009,Duodenitis caused by Tropheryma whipplei (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<113276009|Intestinal structure (body structure)|,370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 417060007|Tropheryma whipplei (organism)|})&limit=7000",4
Sweating (finding),415690000,16026631000119103,Auriculotemporal syndrome of left auriculotemporal nerve (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<39937001|Skin structure (body structure)|} AND [1..1]{363714003|Interprets (attribute)| = 415691001|Sweating, function (observable entity)|})&limit=7000",71
Swelling of first metatarsophalangeal joint of hallux (disorder),415692008,415692008,Swelling of first metatarsophalangeal joint of hallux (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<27824001|First metatarsophalangeal joint structure (body structure)|,116676008|Associated morphology (attribute)| = 80400009|External hyperostosis (morphologic abnormality)|})&limit=7000",3
"Hydatidiform mole, benign (disorder)",417044008,417044008,"Hydatidiform mole, benign (disorder)","(*):  ([1..1]{363698007|Finding site (attribute)| = <<26864007|Structure of product of conception (body structure)|,116676008|Associated morphology (attribute)| = 417271000|Hydatidiform mole, benign (morphologic abnormality)|,370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|} AND [1..1]{363714003|Interprets (attribute)| = 364320009|Pregnancy observable (observable entity)|})&limit=7000",1
Dislocation of shoulder joint (disorder),417076003,429341003,Dislocation of shoulder joint prosthesis (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<85537004|Glenohumeral joint structure (body structure)|,116676008|Associated morphology (attribute)| = 87642003|Dislocation (morphologic abnormality)|})&limit=7000",9
Disease caused by West Nile virus (disorder),417093003,763018002,Asymptomatic West Nile virus infection (disorder),"(*):  ([1..1]{370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 57311007|West Nile virus (organism)|})&limit=7000",6
Blister of skin AND/OR mucosa (disorder),417237009,895649002,Lichen sclerosus bullous type (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<707862002|Structure of skin and/or mucous membrane (body structure)|,116676008|Associated morphology (attribute)| = 339008|Blister (morphologic abnormality)|})&limit=7000",251
Sickling disorder due to hemoglobin S (disorder),417357006,10806241000119108,Thalassemia in mother complicating childbirth (disorder),"(*):  ([1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<41898006|Erythrocyte (cell)|})&limit=7000",135
Dislocation of elbow joint (disorder),417558002,733236001,Traumatic dislocation of radial head (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<16953009|Elbow joint structure (body structure)|,116676008|Associated morphology (attribute)| = 87642003|Dislocation (morphologic abnormality)|})&limit=7000",18
Angioplasty of blood vessel (procedure),418285008,20141000087109,Angioplasty of left tibial artery using fluoroscopic guidance with contrast (procedure),"(*):  ([1..1]{260686004|Method (attribute)| = 410817004|Dilation repair - action (qualifier value)|,405813007|Procedure site - Direct (attribute)| = <<59820001|Blood vessel structure (body structure)|})&limit=7000",330
